# anti- candidates (3532 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

anticerebellar                      -> cerebellar
anticerebral                        -> cerebral
anticeremonial                      -> ceremonial
anticeremonialism                   -> ceremonialism
anticeremonialist                   -> ceremonialist
anticestodal                        -> cestodal
antichafe                           -> chafe
antichafing                         -> chafing
antichagasic                        -> chagasic
antichain                           -> chain
antichange                          -> change
antichaos                           -> chaos
antichaotic                         -> chaotic
antichaotropic                      -> chaotropic
anticharity                         -> charity
anticharm                           -> charm
antichatter                         -> chatter
antichauvinism                      -> chauvinism
antichauvinist                      -> chauvinist
antichav                            -> chav
anticheat                           -> cheat
anticheating                        -> cheating
antichemical                        -> chemical
antichemism                         -> chemism
antichemotactic                     -> chemotactic
antichemotaxis                      -> chemotaxis
antichess                           -> chess
antichicken                         -> chicken
antichild                           -> child
antichimeric                        -> chimeric
antichimpanzee                      -> chimpanzee
antichlamydial                      -> chlamydial
antichlorine                        -> chlorine
antichlorotic                       -> chlorotic
antichoir                           -> choir
anticholagogue                      -> cholagogue
anticholecystokinin                 -> cholecystokinin
anticholera                         -> cholera
anticholeraic                       -> choleraic
anticholeretic                      -> choleretic
anticholestatic                     -> cholestatic
anticholesterol                     -> cholesterol
anticholesterolemic                 -> cholesterolemic
anticholinergenic                   -> cholinergenic
anticholinergic                     -> cholinergic
anticholinesterase                  -> cholinesterase
anticholinesterasic                 -> cholinesterasic
antichondrogenic                    -> chondrogenic
antichoreography                    -> choreography
antichrist                          -> christ
antichristian                       -> christian
antichristic                        -> christic
antichromatin                       -> chromatin
antichronological                   -> chronological
antichthonic                        -> chthonic
antichurch                          -> church
antichurning                        -> churning
antichymotrypsin                    -> chymotrypsin
anticigarette                       -> cigarette
anticinema                          -> cinema
anticinematic                       -> cinematic
anticircular                        -> circular
anticircumcision                    -> circumcision
anticircumsporozoite                -> circumsporozoite
anticircumvention                   -> circumvention
anticircus                          -> circus
anticitizenship                     -> citizenship
anticitrullinated                   -> citrullinated
anticity                            -> city
anticivic                           -> civic
anticivilization                    -> civilization
anticivism                          -> civism
anticlan                            -> clan
anticlass                           -> class
anticlassical                       -> classical
anticlassicism                      -> classicism
anticlassicist                      -> classicist
anticlassism                        -> classism
anticlastic                         -> clastic
anticlastogenic                     -> clastogenic
anticlastogenicity                  -> clastogenicity
anticlergy                          -> clergy
anticleric                          -> cleric
anticlerical                        -> clerical
anticlericalism                     -> clericalism
anticlericalist                     -> clericalist
anticlimactic                       -> climactic
anticlimax                          -> climax
