# re- candidates (2455 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

redisseize                          -> disseize
redisseminate                       -> disseminate
redissociate                        -> dissociate
redissolve                          -> dissolve
redistend                           -> distend
redistinguish                       -> distinguish
redistribute                        -> distribute
redistrict                          -> district
redisturb                           -> disturb
rediversify                         -> diversify
redivert                            -> divert
redivide                            -> divide
redivorce                           -> divorce
redock                              -> dock
redocket                            -> docket
redocument                          -> document
redomesticate                       -> domesticate
redomicile                          -> domicile
redominate                          -> dominate
redon                               -> don
redoom                              -> doom
redose                              -> dose
redouble                            -> double
redownload                          -> download
redraft                             -> draft
redrag                              -> drag
redrain                             -> drain
redramatize                         -> dramatize
redrape                             -> drape
redraw                              -> draw
redream                             -> dream
redredge                            -> dredge
redress                             -> dress
redrill                             -> drill
redrink                             -> drink
redrive                             -> drive
redrug                              -> drug
redrum                              -> drum
redry                               -> dry
redub                               -> dub
reduct                              -> duct
redump                              -> dump
reduplicate                         -> duplicate
redust                              -> dust
redye                               -> dye
redynamize                          -> dynamize
reearn                              -> earn
reeat                               -> eat
reecho                              -> echo
reedificate                         -> edificate
reedify                             -> edify
reeducate                           -> educate
reeject                             -> eject
reelect                             -> elect
reelute                             -> elute
reembark                            -> embark
reembed                             -> embed
reembody                            -> embody
reembrace                           -> embrace
reembroider                         -> embroider
reemerge                            -> emerge
reemit                              -> emit
reemphasize                         -> emphasize
reemploy                            -> employ
reemulsify                          -> emulsify
reenact                             -> enact
reenchant                           -> enchant
reencourage                         -> encourage
reencrypt                           -> encrypt
reendorse                           -> endorse
reendothelialize                    -> endothelialize
reendow                             -> endow
reenergize                          -> energize
reengine                            -> engine
reengineer                          -> engineer
reengraft                           -> engraft
reengrave                           -> engrave
reenjoy                             -> enjoy
reenkindle                          -> enkindle
reenlarge                           -> enlarge
reenlist                            -> enlist
reenrol                             -> enrol
reenroll                            -> enroll
reenslave                           -> enslave
reenter                             -> enter
reenthrone                          -> enthrone
reenthuse                           -> enthuse
reentrain                           -> entrain
reenvelop                           -> envelop
reenvisage                          -> envisage
reenvision                          -> envision
reepithelialize                     -> epithelialize
reequilibrate                       -> equilibrate
reequip                             -> equip
reerect                             -> erect
reerode                             -> erode
reescalate                          -> escalate
reescape                            -> escape
reestablish                         -> establish
reestate                            -> estate
reesterify                          -> esterify
reestimate                          -> estimate
reevaporate                         -> evaporate
reevoke                             -> evoke
reevolve                            -> evolve
reexchange                          -> exchange
reexecute                           -> execute
reexhibit                           -> exhibit
reexhume                            -> exhume
reexit                              -> exit
reexoticize                         -> exoticize
reexpand                            -> expand
reexpel                             -> expel
reexperience                        -> experience
reexplicate                         -> explicate
reexplore                           -> explore
reexport                            -> export
reexpose                            -> expose
reexpress                           -> express
reextract                           -> extract
refabricate                         -> fabricate
reface                              -> face
refacilitate                        -> facilitate
refactor                            -> factor
refactorize                         -> factorize
refall                              -> fall
refallow                            -> fallow
refalsify                           -> falsify
refan                               -> fan
refantasize                         -> fantasize
refascinate                         -> fascinate
refashion                           -> fashion
refasten                            -> fasten
refatten                            -> fatten
refax                               -> fax
refederalize                        -> federalize
refederate                          -> federate
refeed                              -> feed
refeel                              -> feel
refell                              -> fell
refelt                              -> felt
refeminize                          -> feminize
refence                             -> fence
refenestrate                        -> fenestrate
refeoff                             -> feoff
referment                           -> ferment
refertilize                         -> fertilize
refetch                             -> fetch
refettle                            -> fettle
refictionalize                      -> fictionalize
refiddle                            -> fiddle
refight                             -> fight
refigurate                          -> figurate
refigure                            -> figure
refile                              -> file
refill                              -> fill
refilm                              -> film
refilter                            -> filter
refinance                           -> finance
refind                              -> find
refine                              -> fine
refinger                            -> finger
refinish                            -> finish
refire                              -> fire
refit                               -> fit
refix                               -> fix
refixate                            -> fixate
refixture                           -> fixture
reflag                              -> flag
reflame                             -> flame
reflash                             -> flash
reflavor                            -> flavor
reflex                              -> flex
reflip                              -> flip
refloat                             -> float
reflog                              -> flog
reflood                             -> flood
refloor                             -> floor
refloss                             -> floss
reflour                             -> flour
reflourish                          -> flourish
reflow                              -> flow
reflower                            -> flower
refluctuate                         -> fluctuate
refluff                             -> fluff
reflush                             -> flush
reflux                              -> flux
refly                               -> fly
refocus                             -> focus
refold                              -> fold
refoliate                           -> foliate
refollow                            -> follow
refoment                            -> foment
refoot                              -> foot
reforbid                            -> forbid
reford                              -> ford
reforecast                          -> forecast
reforest                            -> forest
reforfeit                           -> forfeit
reforge                             -> forge
reforget                            -> forget
reforgive                           -> forgive
refork                              -> fork
reform                              -> form
reformalize                         -> formalize
reformat                            -> format
reformulate                         -> formulate
refortify                           -> fortify
reforward                           -> forward
refoul                              -> foul
refound                             -> found
refoveate                           -> foveate
refract                             -> fract
refractionate                       -> fractionate
refracture                          -> fracture
refragment                          -> fragment
refrain                             -> frain
reframe                             -> frame
refranchise                         -> franchise
refreeze                            -> freeze
refresh                             -> fresh
refreshen                           -> freshen
refret                              -> fret
refriend                            -> friend
refrigerate                         -> frigerate
refrighten                          -> frighten
refringe                            -> fringe
refront                             -> front
refrustrate                         -> frustrate
refry                               -> fry
refuck                              -> fuck
refuel                              -> fuel
refumigate                          -> fumigate
refunction                          -> function
refunctionalize                     -> functionalize
refund                              -> fund
refunnel                            -> funnel
refurbish                           -> furbish
refurl                              -> furl
refurnish                           -> furnish
refuse                              -> fuse
refuze                              -> fuze
regag                               -> gag
regain                              -> gain
regale                              -> gale
regalvanize                         -> galvanize
regarment                           -> garment
regarnish                           -> garnish
regarrison                          -> garrison
regas                               -> gas
regasify                            -> gasify
regather                            -> gather
regauge                             -> gauge
regear                              -> gear
regelate                            -> gelate
regelatinize                        -> gelatinize
regender                            -> gender
regenderize                         -> genderize
regeneralize                        -> generalize
regenerate                          -> generate
regenotype                          -> genotype
regentrify                          -> gentrify
regerminate                         -> germinate
reget                               -> get
regift                              -> gift
regild                              -> gild
regive                              -> give
reglaciate                          -> glaciate
regladden                           -> gladden
reglair                             -> glair
reglass                             -> glass
reglaze                             -> glaze
reglobalize                         -> globalize
regloss                             -> gloss
reglove                             -> glove
reglow                              -> glow
reglucosylate                       -> glucosylate
reglue                              -> glue
regorge                             -> gorge
regouge                             -> gouge
regovern                            -> govern
regrab                              -> grab
regrade                             -> grade
regraft                             -> graft
regrant                             -> grant
regranulate                         -> granulate
regraph                             -> graph
regrasp                             -> grasp
regrass                             -> grass
regrate                             -> grate
regratify                           -> gratify
regravel                            -> gravel
regraze                             -> graze
regrease                            -> grease
regreen                             -> green
regreet                             -> greet
regrind                             -> grind
regrip                              -> grip
regrit                              -> grit
