# un- candidates (10095 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

unaugmentable                       -> augmentable
unaugmented                         -> augmented
unaugust                            -> august
unauspicious                        -> auspicious
unaustere                           -> austere
unauthentic                         -> authentic
unauthentical                       -> authentical
unauthenticate                      -> authenticate
unauthored                          -> authored
unauthoritative                     -> authoritative
unauthorizable                      -> authorizable
unauthorize                         -> authorize
unauthorized                        -> authorized
unauthorly                          -> authorly
unautistic                          -> autistic
unautoclaved                        -> autoclaved
unautocorrelated                    -> autocorrelated
unautocratic                        -> autocratic
unautographed                       -> autographed
unautomatable                       -> automatable
unautomated                         -> automated
unautumnal                          -> autumnal
unavailable                         -> available
unavailing                          -> availing
unavaricious                        -> avaricious
unavengeable                        -> avengeable
unavenued                           -> avenued
unaverage                           -> average
unaveraged                          -> averaged
unaverse                            -> averse
unaversive                          -> aversive
unavertable                         -> avertable
unaverted                           -> averted
unavertible                         -> avertible
unavian                             -> avian
unavoidable                         -> avoidable
unavoidant                          -> avoidant
unavowable                          -> avowable
unavowed                            -> avowed
unavuncular                         -> avuncular
unawakable                          -> awakable
unawake                             -> awake
unawakenable                        -> awakenable
unawakened                          -> awakened
unawakening                         -> awakening
unaward                             -> award
unawardable                         -> awardable
unaware                             -> aware
unawed                              -> awed
unawesome                           -> awesome
unawkward                           -> awkward
unawned                             -> awned
unaxed                              -> axed
unaxiomatizable                     -> axiomatizable
unaxled                             -> axled
unbabied                            -> babied
unbabylike                          -> babylike
unback                              -> back
unbackable                          -> backable
unbacked                            -> backed
unbackward                          -> backward
unbadged                            -> badged
unbadgered                          -> badgered
unbaffle                            -> baffle
unbaffleable                        -> baffleable
unbaffled                           -> baffled
unbaffling                          -> baffling
unbag                               -> bag
unbaggable                          -> baggable
unbagged                            -> bagged
unbailable                          -> bailable
unbait                              -> bait
unbaitable                          -> baitable
unbaked                             -> baked
unbalance                           -> balance
unbalanceable                       -> balanceable
unbalanced                          -> balanced
unbalconied                         -> balconied
unbalding                           -> balding
unbale                              -> bale
unbaleful                           -> baleful
unball                              -> ball
unballast                           -> ballast
unballetic                          -> balletic
unballoted                          -> balloted
unbalmy                             -> balmy
unbalustraded                       -> balustraded
unbamboozled                        -> bamboozled
unban                               -> ban
unbandage                           -> bandage
unbandaged                          -> bandaged
unbanded                            -> banded
unbangable                          -> bangable
unbanged                            -> banged
unbanish                            -> banish
unbanishable                        -> banishable
unbanished                          -> banished
unbank                              -> bank
unbankable                          -> bankable
unbanked                            -> banked
unbankrupt                          -> bankrupt
unbannable                          -> bannable
unbannered                          -> bannered
unbaptisable                        -> baptisable
unbaptize                           -> baptize
unbaptized                          -> baptized
unbar                               -> bar
unbarb                              -> barb
unbarbarize                         -> barbarize
unbarbarous                         -> barbarous
unbarbecued                         -> barbecued
unbarbed                            -> barbed
unbarcoded                          -> barcoded
unbare                              -> bare
unbargainable                       -> bargainable
unbark                              -> bark
unbarked                            -> barked
unbarnacled                         -> barnacled
unbaroque                           -> baroque
unbarrable                          -> barrable
unbarred                            -> barred
unbarrel                            -> barrel
unbarrelled                         -> barrelled
unbarren                            -> barren
unbarricade                         -> barricade
unbarricadoed                       -> barricadoed
unbarriered                         -> barriered
unbarristerial                      -> barristerial
unbase                              -> base
unbased                             -> based
unbashful                           -> bashful
unbasketed                          -> basketed
unbaste                             -> baste
unbasted                            -> basted
unbatch                             -> batch
unbatched                           -> batched
unbated                             -> bated
unbathed                            -> bathed
unbatted                            -> batted
unbatten                            -> batten
unbatterable                        -> batterable
unbattered                          -> battered
unbattled                           -> battled
unbattlemented                      -> battlemented
unbattling                          -> battling
unbayed                             -> bayed
unbeach                             -> beach
unbeachy                            -> beachy
unbeaconed                          -> beaconed
unbeaded                            -> beaded
unbeaked                            -> beaked
unbeamed                            -> beamed
unbear                              -> bear
unbearable                          -> bearable
unbeard                             -> beard
unbearded                           -> bearded
unbearing                           -> bearing
unbearish                           -> bearish
unbeast                             -> beast
unbeatable                          -> beatable
unbeaten                            -> beaten
unbeatified                         -> beatified
unbeauteous                         -> beauteous
unbeautifiable                      -> beautifiable
unbeautified                        -> beautified
unbeautiful                         -> beautiful
unbeautify                          -> beautify
unbeauty                            -> beauty
unbeavered                          -> beavered
unbecalmed                          -> becalmed
unbecome                            -> become
unbecoming                          -> becoming
unbed                               -> bed
unbedded                            -> bedded
unbedecked                          -> bedecked
unbedewed                           -> bedewed
unbedizened                         -> bedizened
unbedraggled                        -> bedraggled
unbeefy                             -> beefy
unbeery                             -> beery
unbefit                             -> befit
unbefitting                         -> befitting
unbefogged                          -> befogged
unbefool                            -> befool
unbefriendable                      -> befriendable
unbefuddled                         -> befuddled
unbeget                             -> beget
unbeggared                          -> beggared
unbeggarly                          -> beggarly
unbeginning                         -> beginning
unbegotten                          -> begotten
unbegrimed                          -> begrimed
unbegrudged                         -> begrudged
unbegrudging                        -> begrudging
unbeguilable                        -> beguilable
unbeguile                           -> beguile
unbeguiling                         -> beguiling
unbeheaded                          -> beheaded
unbeholdable                        -> beholdable
unbeholden                          -> beholden
unbeknown                           -> beknown
unbeknownst                         -> beknownst
unbelated                           -> belated
unbeleaguered                       -> beleaguered
unbelievable                        -> believable
unbelieve                           -> believe
unbelittling                        -> belittling
unbell                              -> bell
unbelled                            -> belled
unbellicose                         -> bellicose
unbellied                           -> bellied
unbelligerent                       -> belligerent
unbeloved                           -> beloved
unbelt                              -> belt
unbelted                            -> belted
unbemused                           -> bemused
unbench                             -> bench
unbenched                           -> benched
unbend                              -> bend
unbendable                          -> bendable
unbending                           -> bending
unbeneficed                         -> beneficed
unbeneficent                        -> beneficent
unbeneficial                        -> beneficial
unbenefitable                       -> benefitable
unbenevolent                        -> benevolent
unbenighted                         -> benighted
unbenign                            -> benign
unbenignant                         -> benignant
unbent                              -> bent
unbenumb                            -> benumb
unbenumbed                          -> benumbed
unbequeathable                      -> bequeathable
unbereaved                          -> bereaved
unbereft                            -> bereft
unberibboned                        -> beribboned
unberth                             -> berth
unbeseem                            -> beseem
unbeseeming                         -> beseeming
unbeseemly                          -> beseemly
unbeset                             -> beset
unbesmeared                         -> besmeared
unbesmirch                          -> besmirch
unbesotted                          -> besotted
unbespattered                       -> bespattered
unbespeak                           -> bespeak
unbespectacled                      -> bespectacled
unbespoken                          -> bespoken
unbesprinkled                       -> besprinkled
unbestial                           -> bestial
unbet                               -> bet
unbethink                           -> bethink
unbetray                            -> betray
unbetrayable                        -> betrayable
unbetrayed                          -> betrayed
unbetraying                         -> betraying
unbetrothed                         -> betrothed
unbetterable                        -> betterable
unbevelled                          -> bevelled
unbewilder                          -> bewilder
unbewildered                        -> bewildered
unbewildering                       -> bewildering
unbewitch                           -> bewitch
unbewitched                         -> bewitched
unbewitching                        -> bewitching
unbewritten                         -> bewritten
unbias                              -> bias
unbiasable                          -> biasable
unbiased                            -> biased
unbiblical                          -> biblical
unbibliophilic                      -> bibliophilic
unbibulous                          -> bibulous
unbickering                         -> bickering
unbid                               -> bid
unbiddable                          -> biddable
unbifurcated                        -> bifurcated
unbig                               -> big
unbigged                            -> bigged
unbigoted                           -> bigoted
unbilious                           -> bilious
unbillable                          -> billable
unbilled                            -> billed
unbillet                            -> billet
unbilleted                          -> billeted
unbin                               -> bin
unbind                              -> bind
unbindable                          -> bindable
unbinded                            -> binded
unbingeable                         -> bingeable
unbinned                            -> binned
unbiodegradable                     -> biodegradable
unbiographical                      -> biographical
