# in- candidates (857 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

inobnoxious                         -> obnoxious
inobscurable                        -> obscurable
inobservable                        -> observable
inobservant                         -> observant
inobtainable                        -> obtainable
inobtrusive                         -> obtrusive
inocular                            -> ocular
inodorate                           -> odorate
inodorous                           -> odorous
inoffensive                         -> offensive
inofficial                          -> official
inofficious                         -> officious
inolfactible                        -> olfactible
inoperable                          -> operable
inoperant                           -> operant
inoperational                       -> operational
inoperative                         -> operative
inopercular                         -> opercular
inoperculate                        -> operculate
inopinable                          -> opinable
inoppressive                        -> oppressive
inoppugnable                        -> oppugnable
inoptimal                           -> optimal
inopulent                           -> opulent
inordinate                          -> ordinate
inorganic                           -> organic
inorganized                         -> organized
inorganometallic                    -> organometallic
inornate                            -> ornate
inorthodox                          -> orthodox
inosculate                          -> osculate
inostensible                        -> ostensible
inoxidable                          -> oxidable
inoxidative                         -> oxidative
inoxidizable                        -> oxidizable
inoxidized                          -> oxidized
inoxidizing                         -> oxidizing
inpainted                           -> painted
inpatient                           -> patient
inplane                             -> plane
inputtable                          -> puttable
inquorate                           -> quorate
inraptured                          -> raptured
inreconcilable                      -> reconcilable
inrolled                            -> rolled
inrounded                           -> rounded
inrunning                           -> running
inrushing                           -> rushing
insagacious                         -> sagacious
insalubrious                        -> salubrious
insalutary                          -> salutary
insanable                           -> sanable
insane                              -> sane
insanitary                          -> sanitary
insapient                           -> sapient
insatiable                          -> satiable
insatiate                           -> satiate
insaturable                         -> saturable
inscient                            -> scient
inscribable                         -> scribable
inscriptable                        -> scriptable
inscrutable                         -> scrutable
insculptured                        -> sculptured
insectarial                         -> sectarial
insectile                           -> sectile
insecure                            -> secure
inseducible                         -> seducible
insensible                          -> sensible
insensitive                         -> sensitive
insensuous                          -> sensuous
insentient                          -> sentient
inseparable                         -> separable
insequent                           -> sequent
inservient                          -> servient
inset                               -> set
inseverable                         -> severable
inshipped                           -> shipped
inside                              -> side
insideless                          -> sideless
insighted                           -> sighted
insightful                          -> sightful
insightless                         -> sightless
insignificant                       -> significant
insignificative                     -> significative
insincere                           -> sincere
insober                             -> sober
insociable                          -> sociable
insociate                           -> sociate
insoluble                           -> soluble
insolvable                          -> solvable
insolvated                          -> solvated
insolvent                           -> solvent
insomnolent                         -> somnolent
insonorous                          -> sonorous
inspecific                          -> specific
inspirable                          -> spirable
inspiral                            -> spiral
inspired                            -> spired
inspissated                         -> spissated
instable                            -> stable
instepped                           -> stepped
instratified                        -> stratified
insubmergible                       -> submergible
insubmersible                       -> submersible
insubmissive                        -> submissive
insubordinate                       -> subordinate
insubstantiable                     -> substantiable
insubstantive                       -> substantive
insudative                          -> sudative
insufferable                        -> sufferable
insufficient                        -> sufficient
insuperable                         -> superable
insupportable                       -> supportable
insupposable                        -> supposable
insuppressible                      -> suppressible
insuppressive                       -> suppressive
insurgent                           -> surgent
insurmountable                      -> surmountable
insurpassable                       -> surpassable
insusceptible                       -> susceptible
insusceptive                        -> susceptive
insweeping                          -> sweeping
inswept                             -> swept
inswinging                          -> swinging
intactable                          -> tactable
intactile                           -> tactile
intangible                          -> tangible
intastable                          -> tastable
intectate                           -> tectate
integumental                        -> tegumental
integumentary                       -> tegumentary
integumented                        -> tegumented
intemperant                         -> temperant
intemperate                         -> temperate
intempestive                        -> tempestive
intemporal                          -> temporal
intenable                           -> tenable
intenible                           -> tenible
intense                             -> tense
intensional                         -> tensional
intensive                           -> tensive
interannual                         -> terannual
interminable                        -> terminable
interminate                         -> terminate
interminated                        -> terminated
intermolecular                      -> termolecular
internal                            -> ternal
interpolymeric                      -> terpolymeric
intestable                          -> testable
intestate                           -> testate
intextured                          -> textured
intoed                              -> toed
intolerable                         -> tolerable
intolerant                          -> tolerant
intolerated                         -> tolerated
intonable                           -> tonable
intoxicant                          -> toxicant
intractable                         -> tractable
intractile                          -> tractile
intramontane                        -> tramontane
intranquil                          -> tranquil
intranscalent                       -> transcalent
intransferable                      -> transferable
intransformable                     -> transformable
intransfusible                      -> transfusible
intransgressible                    -> transgressible
intransient                         -> transient
intransitable                       -> transitable
intransitive                        -> transitive
intranslatable                      -> translatable
intransmissible                     -> transmissible
intransmutable                      -> transmutable
intransparent                       -> transparent
intraversable                       -> traversable
intreatable                         -> treatable
intrenchant                         -> trenchant
introdden                           -> trodden
intuitional                         -> tuitional
intumescent                         -> tumescent
inuloid                             -> uloid
inundatable                         -> undatable
inundated                           -> undated
inunderstanding                     -> understanding
inurned                             -> urned
inusitate                           -> usitate
inutile                             -> utile
inutilitarian                       -> utilitarian
inutterable                         -> utterable
invaletudinary                      -> valetudinary
invalid                             -> valid
invalidated                         -> validated
invalorous                          -> valorous
invaluable                          -> valuable
invariable                          -> variable
invariant                           -> variant
invendible                          -> vendible
inventable                          -> ventable
invented                            -> vented
inventive                           -> ventive
inventurous                         -> venturous
inveracious                         -> veracious
inverecund                          -> verecund
inverisimilar                       -> verisimilar
inversional                         -> versional
inversionless                       -> versionless
inversive                           -> versive
invert                              -> vert
invertebrate                        -> vertebrate
invertebrated                       -> vertebrated
invertible                          -> vertible
invested                            -> vested
inviable                            -> viable
invincible                          -> vincible
inviolable                          -> violable
inviolate                           -> violate
inviolated                          -> violated
invirile                            -> virile
inviscid                            -> viscid
invisible                           -> visible
invital                             -> vital
invitrifiable                       -> vitrifiable
invocable                           -> vocable
invocational                        -> vocational
invocative                          -> vocative
invoiceable                         -> voiceable
involatile                          -> volatile
involuntary                         -> voluntary
invulgar                            -> vulgar
invulnerable                        -> vulnerable
inworn                              -> worn
inwrought                           -> wrought
inæsthetical                        -> æsthetical
