# non- candidates (9604 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

nonaneuploidy                       -> aneuploidy
nonaneurysmal                       -> aneurysmal
nonangel                            -> angel
nonangelic                          -> angelic
nonanginal                          -> anginal
nonangiogenic                       -> angiogenic
nonangiosperm                       -> angiosperm
nonangled                           -> angled
nonangler                           -> angler
nonangling                          -> angling
nonangry                            -> angry
nonangular                          -> angular
nonanhydrous                        -> anhydrous
nonanimal                           -> animal
nonanimated                         -> animated
nonanimation                        -> animation
nonannealable                       -> annealable
nonannealing                        -> annealing
nonannexation                       -> annexation
nonannotated                        -> annotated
nonannouncement                     -> announcement
nonannual                           -> annual
nonannualized                       -> annualized
nonannuitant                        -> annuitant
nonannulment                        -> annulment
nonanomalous                        -> anomalous
nonanomeric                         -> anomeric
nonanonymity                        -> anonymity
nonanonymous                        -> anonymous
nonanorectic                        -> anorectic
nonanorexic                         -> anorexic
nonanswer                           -> answer
nonanswerable                       -> answerable
nonanswered                         -> answered
nonanswering                        -> answering
nonantagonistic                     -> antagonistic
nonanterior                         -> anterior
nonanthrax                          -> anthrax
nonanthropic                        -> anthropic
nonanthropocentric                  -> anthropocentric
nonanthropogenic                    -> anthropogenic
nonanthropological                  -> anthropological
nonanthropologist                   -> anthropologist
nonanthropomorphic                  -> anthropomorphic
nonantibacterial                    -> antibacterial
nonantibiotic                       -> antibiotic
nonantibody                         -> antibody
nonanticholinergic                  -> anticholinergic
nonanticipative                     -> anticipative
nonanticipatory                     -> anticipatory
nonanticoagulant                    -> anticoagulant
nonanticoagulated                   -> anticoagulated
nonantifungal                       -> antifungal
nonantigen                          -> antigen
nonantigenic                        -> antigenic
nonantihypertensive                 -> antihypertensive
nonantimicrobial                    -> antimicrobial
nonantioxidant                      -> antioxidant
nonantiparallel                     -> antiparallel
nonantipseudomonal                  -> antipseudomonal
nonantique                          -> antique
nonantiretroviral                   -> antiretroviral
nonantisense                        -> antisense
nonantisocial                       -> antisocial
nonantistatic                       -> antistatic
nonantithrombotic                   -> antithrombotic
nonantiviral                        -> antiviral
nonanxiety                          -> anxiety
nonanxiolytic                       -> anxiolytic
nonanxious                          -> anxious
nonapathetic                        -> apathetic
nonaperturate                       -> aperturate
nonapertured                        -> apertured
nonapical                           -> apical
nonapneic                           -> apneic
nonapocalyptic                      -> apocalyptic
nonapocrine                         -> apocrine
nonapologetic                       -> apologetic
nonapoptogenic                      -> apoptogenic
nonapoptotic                        -> apoptotic
nonapostolic                        -> apostolic
nonapparent                         -> apparent
nonappealable                       -> appealable
nonappealing                        -> appealing
nonappearance                       -> appearance
nonappearer                         -> appearer
nonappearing                        -> appearing
nonappellate                        -> appellate
nonappendiceal                      -> appendiceal
nonappendicular                     -> appendicular
nonappetitive                       -> appetitive
nonapple                            -> apple
nonapplicability                    -> applicability
nonapplicable                       -> applicable
nonapplicant                        -> applicant
nonapplication                      -> application
nonapplied                          -> applied
nonapplying                         -> applying
nonappointed                        -> appointed
nonappointment                      -> appointment
nonapportionable                    -> apportionable
nonapposable                        -> apposable
nonappositional                     -> appositional
nonappraisal                        -> appraisal
nonappreciable                      -> appreciable
nonappreciation                     -> appreciation
nonappreciative                     -> appreciative
nonapprehension                     -> apprehension
nonappressed                        -> appressed
nonappropriate                      -> appropriate
nonappropriated                     -> appropriated
nonappropriation                    -> appropriation
nonappropriative                    -> appropriative
nonapprovable                       -> approvable
nonapproval                         -> approval
nonapproved                         -> approved
nonapproximability                  -> approximability
nonapproximable                     -> approximable
nonapraxic                          -> apraxic
nonaquarium                         -> aquarium
nonaquatic                          -> aquatic
nonaqueous                          -> aqueous
nonarable                           -> arable
nonarbitrable                       -> arbitrable
nonarbitrariness                    -> arbitrariness
nonarbitrary                        -> arbitrary
nonarboreal                         -> arboreal
nonarchaeal                         -> archaeal
nonarchaebacterial                  -> archaebacterial
nonarchaellated                     -> archaellated
nonarchaeological                   -> archaeological
nonarchaeologist                    -> archaeologist
nonarchaic                          -> archaic
nonarched                           -> arched
nonarchetypal                       -> archetypal
nonarchetypical                     -> archetypical
nonarchitect                        -> architect
nonarchitectural                    -> architectural
nonarchitecture                     -> architecture
nonarchival                         -> archival
nonarchived                         -> archived
nonarcing                           -> arcing
nonargentiferous                    -> argentiferous
nonargumental                       -> argumental
nonargumentative                    -> argumentative
nonarid                             -> arid
nonaristocrat                       -> aristocrat
nonaristocratic                     -> aristocratic
nonarithmetic                       -> arithmetic
nonarithmetical                     -> arithmetical
nonarmament                         -> armament
nonarmed                            -> armed
nonarmigerous                       -> armigerous
nonarmored                          -> armored
nonarmy                             -> army
nonaromatic                         -> aromatic
nonaromatizable                     -> aromatizable
nonarousal                          -> arousal
nonaroused                          -> aroused
nonarousing                         -> arousing
nonarraignment                      -> arraignment
nonarranged                         -> arranged
nonarrest                           -> arrest
nonarrested                         -> arrested
nonarrhythmic                       -> arrhythmic
nonarrhythmogenic                   -> arrhythmogenic
nonarrival                          -> arrival
nonarrogation                       -> arrogation
nonarsenical                        -> arsenical
nonart                              -> art
nonarterial                         -> arterial
nonarteriosclerotic                 -> arteriosclerotic
nonarteritic                        -> arteritic
nonartesian                         -> artesian
nonarthritic                        -> arthritic
nonarticular                        -> articular
nonarticulated                      -> articulated
nonarticulation                     -> articulation
nonartificial                       -> artificial
nonartillery                        -> artillery
nonartist                           -> artist
nonartistic                         -> artistic
nonarts                             -> arts
nonarylating                        -> arylating
nonasbestos                         -> asbestos
nonascertainable                    -> ascertainable
nonascetic                          -> ascetic
nonascription                       -> ascription
nonaseptic                          -> aseptic
nonaspectual                        -> aspectual
nonasphalt                          -> asphalt
nonasphyxial                        -> asphyxial
nonaspirant                         -> aspirant
nonaspirate                         -> aspirate
nonaspirated                        -> aspirated
nonaspirational                     -> aspirational
nonaspirin                          -> aspirin
nonaspiring                         -> aspiring
nonassault                          -> assault
nonassemblage                       -> assemblage
nonassent                           -> assent
nonassented                         -> assented
nonasserted                         -> asserted
nonassertion                        -> assertion
nonassertive                        -> assertive
nonassertiveness                    -> assertiveness
nonassessable                       -> assessable
nonassessment                       -> assessment
nonassignable                       -> assignable
nonassigned                         -> assigned
nonassignment                       -> assignment
nonassimilable                      -> assimilable
nonassimilating                     -> assimilating
nonassimilation                     -> assimilation
nonassistance                       -> assistance
nonassistive                        -> assistive
nonassociable                       -> associable
nonassociated                       -> associated
nonassociation                      -> association
nonassociative                      -> associative
nonassociativity                    -> associativity
nonassortative                      -> assortative
nonassumption                       -> assumption
nonassurance                        -> assurance
nonasterisked                       -> asterisked
nonasthma                           -> asthma
nonasthmatic                        -> asthmatic
nonastigmatic                       -> astigmatic
nonastonishing                      -> astonishing
nonastringent                       -> astringent
nonastrocytic                       -> astrocytic
nonastroglial                       -> astroglial
nonastrological                     -> astrological
nonastronomer                       -> astronomer
nonastronomical                     -> astronomical
nonasyllabic                        -> asyllabic
nonasymptotic                       -> asymptotic
nonasynchronous                     -> asynchronous
nonatavistic                        -> atavistic
nonatheist                          -> atheist
nonatheistic                        -> atheistic
nonatherogenic                      -> atherogenic
nonatheromatous                     -> atheromatous
nonatherosclerotic                  -> atherosclerotic
nonathlete                          -> athlete
nonathletic                         -> athletic
nonatmospheric                      -> atmospheric
nonatomic                           -> atomic
nonatomicity                        -> atomicity
nonatomistic                        -> atomistic
nonatonement                        -> atonement
nonatopic                           -> atopic
nonatretic                          -> atretic
nonatrial                           -> atrial
nonatrophic                         -> atrophic
nonattachable                       -> attachable
nonattached                         -> attached
nonattachment                       -> attachment
nonattack                           -> attack
nonattackable                       -> attackable
nonattacking                        -> attacking
nonattainment                       -> attainment
nonattempt                          -> attempt
nonattendance                       -> attendance
nonattendant                        -> attendant
nonattended                         -> attended
nonattendee                         -> attendee
nonattender                         -> attender
nonattending                        -> attending
nonattention                        -> attention
nonattentional                      -> attentional
nonattentive                        -> attentive
nonattenuated                       -> attenuated
nonattenuation                      -> attenuation
nonattenuative                      -> attenuative
nonattestation                      -> attestation
nonattested                         -> attested
nonattitude                         -> attitude
nonattitudinal                      -> attitudinal
nonattracted                        -> attracted
nonattraction                       -> attraction
nonattractive                       -> attractive
nonattributable                     -> attributable
nonattribution                      -> attribution
nonattributive                      -> attributive
nonatypical                         -> atypical
nonauction                          -> auction
nonaudible                          -> audible
nonaudio                            -> audio
nonaudiological                     -> audiological
nonaudiometric                      -> audiometric
nonaudiovisual                      -> audiovisual
nonauditor                          -> auditor
nonauditory                         -> auditory
nonaugmentation                     -> augmentation
nonaugmentative                     -> augmentative
nonaugmented                        -> augmented
nonaural                            -> aural
nonauricular                        -> auricular
nonauriferous                       -> auriferous
nonauroral                          -> auroral
nonaustenitic                       -> austenitic
nonauthentic                        -> authentic
nonauthentication                   -> authentication
nonauthenticity                     -> authenticity
nonauthigenic                       -> authigenic
nonauthor                           -> author
nonauthorial                        -> authorial
nonauthoritarian                    -> authoritarian
nonauthoritarianism                 -> authoritarianism
nonauthoritative                    -> authoritative
nonauthorized                       -> authorized
nonautistic                         -> autistic
nonauto                             -> auto
nonautobiographical                 -> autobiographical
nonautocatalytic                    -> autocatalytic
nonautoclavable                     -> autoclavable
nonautoclaved                       -> autoclaved
nonautocorrelated                   -> autocorrelated
nonautocorrelation                  -> autocorrelation
nonautocratic                       -> autocratic
nonautocrine                        -> autocrine
nonautofluorescent                  -> autofluorescent
nonautogenic                        -> autogenic
nonautogenous                       -> autogenous
nonautoimmune                       -> autoimmune
nonautologous                       -> autologous
nonautomatable                      -> automatable
nonautomated                        -> automated
nonautomatic                        -> automatic
nonautomaticity                     -> automaticity
nonautomation                       -> automation
nonautomotive                       -> automotive
nonautonomic                        -> autonomic
nonautonomous                       -> autonomous
nonautonomy                         -> autonomy
nonautophagic                       -> autophagic
nonautoreactive                     -> autoreactive
nonautoregressive                   -> autoregressive
nonautosomal                        -> autosomal
nonautotrophic                      -> autotrophic
nonauxetic                          -> auxetic
nonauxiliary                        -> auxiliary
nonauxin                            -> auxin
nonauxotrophic                      -> auxotrophic
nonavailability                     -> availability
nonavailable                        -> available
nonavalent                          -> avalent
nonaversive                         -> aversive
nonaviation                         -> aviation
nonavoidable                        -> avoidable
nonavoidance                        -> avoidance
nonavoidant                         -> avoidant
nonawake                            -> awake
nonaware                            -> aware
nonawareness                        -> awareness
nonaxenic                           -> axenic
nonaxial                            -> axial
nonaxiomatic                        -> axiomatic
nonaxiomatizable                    -> axiomatizable
nonaxisymmetric                     -> axisymmetric
nonaxisymmetrical                   -> axisymmetrical
nonaxonemal                         -> axonemal
nonazimuthal                        -> azimuthal
nonazotemia                         -> azotemia
nonazotemic                         -> azotemic
nonbaby                             -> baby
nonbachelor                         -> bachelor
nonbacillary                        -> bacillary
nonback                             -> back
nonbackdrivability                  -> backdrivability
nonbackdrivable                     -> backdrivable
nonbacklit                          -> backlit
nonbacktracking                     -> backtracking
nonbacteremic                       -> bacteremic
nonbacterial                        -> bacterial
