# dis- candidates (771 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

dissolvable                         -> solvable
dissolve                            -> solve
dissolved                           -> solved
dissonant                           -> sonant
dissonate                           -> sonate
dissuasive                          -> suasive
dissuasory                          -> suasory
dissunder                           -> sunder
dissyllabize                        -> syllabize
dissymmetric                        -> symmetric
dissymmetrical                      -> symmetrical
dissynchronize                      -> synchronize
distalometatarsal                   -> talometatarsal
distaste                            -> taste
distasteful                         -> tasteful
distelic                            -> telic
distemper                           -> temper
distemperate                        -> temperate
distempered                         -> tempered
distensible                         -> tensible
distensile                          -> tensile
distensive                          -> tensive
distent                             -> tent
disterminate                        -> terminate
disthrone                           -> throne
disthronize                         -> thronize
distillable                         -> tillable
distilled                           -> tilled
distinct                            -> tinct
distitle                            -> title
distolerate                         -> tolerate
distonic                            -> tonic
distortive                          -> tortive
distract                            -> tract
distractile                         -> tractile
distractive                         -> tractive
distrain                            -> train
distrainable                        -> trainable
distress                            -> tress
distressed                          -> tressed
distressful                         -> tressful
distressless                        -> tressless
distributable                       -> tributable
distributary                        -> tributary
distribute                          -> tribute
distrophic                          -> trophic
distrouble                          -> trouble
distroubled                         -> troubled
distrust                            -> trust
distrusted                          -> trusted
distrustful                         -> trustful
distrusting                         -> trusting
distrustless                        -> trustless
distune                             -> tune
disturn                             -> turn
disturnpike                         -> turnpike
disuniate                           -> uniate
disuniform                          -> uniform
disunify                            -> unify
disunitable                         -> unitable
disunite                            -> unite
disunited                           -> united
disuse                              -> use
disused                             -> used
disvaluable                         -> valuable
disvalue                            -> value
disverify                           -> verify
disvirgin                           -> virgin
disvouch                            -> vouch
diswant                             -> want
diswarn                             -> warn
disway                              -> way
disweapon                           -> weapon
diswitted                           -> witted
diswont                             -> wont
disworship                          -> worship
disyoke                             -> yoke
